frame,time_s,track_id,track_lifetime_frames,confirmed,valid_flying_track,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,area_px,score,mean_diff,max_diff,track_path_length_px,track_net_displacement_px,track_mean_speed_px_frame,track_max_step_speed_px_frame,track_directionality,track_frame_span
6,0.2,9,49,1,0,792.488,440.44,771,437,43,7,209,0.2917,19.215,21.0,40.867,7.019,0.834,8.494,0.1717,49
6,0.2,10,65,1,1,810.667,436.667,810,436,2,2,3,0.25,18.0,18.0,123.379,76.816,1.645,21.869,0.6226,75
6,0.2,14,46,1,1,834.811,506.453,831,503,9,8,53,1.0,48.642,98.0,167.138,154.666,3.714,22.444,0.9254,45
6,0.2,16,153,1,0,1006.993,517.686,1001,512,14,15,137,1.0,65.08,142.0,69.075,5.386,0.443,3.852,0.078,156
6,0.2,17,89,1,1,956.08,521.864,949,513,17,21,213,1.0,85.333,179.0,665.962,176.725,7.483,37.876,0.2654,89
6,0.2,19,65,1,0,861.576,535.288,857,532,10,7,59,1.0,55.356,124.0,357.721,26.169,5.339,24.629,0.0732,67
6,0.2,26,51,1,1,839.75,602.0,839,601,2,3,4,0.2917,19.25,21.0,316.496,146.361,5.972,23.629,0.4624,53
6,0.2,27,102,1,1,1228.542,774.148,1219,770,19,11,142,1.0,46.549,82.0,1011.036,423.75,9.361,61.32,0.4191,108
6,0.2,28,9,1,0,1101.4,421.8,1101,421,2,3,5,0.2639,18.4,19.0,1.099,1.099,0.1,0.275,1.0,11
6,0.2,29,16,1,0,869.8,429.0,868,428,4,3,5,0.2639,18.4,19.0,6.592,0.601,0.439,0.601,0.0912,15
6,0.2,30,29,1,0,814.0,436.0,813,436,3,1,3,0.2639,18.333,19.0,63.499,7.649,2.048,24.083,0.1205,31
6,0.2,32,22,1,0,695.452,450.43,663,444,73,17,363,0.4583,21.689,33.0,11.479,1.431,0.522,5.675,0.1247,22
6,0.2,34,8,1,1,1379.321,818.017,1356,802,54,32,891,1.0,95.093,188.0,107.748,106.613,15.393,55.172,0.9895,7
7,0.2333,1,153,1,0,943.014,316.792,931,309,26,17,283,1.0,72.735,186.0,28.982,7.891,0.186,2.386,0.2723,156
7,0.2333,2,153,1,0,997.167,318.896,990,314,17,12,144,1.0,114.236,225.0,26.616,5.853,0.171,1.583,0.2199,156
7,0.2333,3,47,1,1,1209.019,411.72,1194,402,32,20,368,1.0,107.141,242.0,832.205,564.662,14.348,71.812,0.6785,58
7,0.2333,4,96,1,1,1105.955,415.773,1100,413,13,6,44,0.4444,23.159,32.0,430.294,375.167,4.529,82.138,0.8719,95
7,0.2333,6,17,1,0,876.118,428.529,874,427,6,5,17,0.2778,18.529,20.0,3.466,2.998,0.217,1.989,0.8649,16
7,0.2333,7,15,1,0,868.5,433.0,868,433,2,1,2,0.25,18.0,18.0,17.281,11.481,1.08,4.768,0.6643,16
7,0.2333,9,49,1,0,792.341,440.427,771,437,43,7,211,0.2917,19.213,21.0,40.867,7.019,0.834,8.494,0.1717,49
7,0.2333,10,65,1,1,810.667,436.667,810,436,2,2,3,0.25,18.0,18.0,123.379,76.816,1.645,21.869,0.6226,75
7,0.2333,14,46,1,1,834.769,506.385,831,503,9,8,52,1.0,49.231,98.0,167.138,154.666,3.714,22.444,0.9254,45
7,0.2333,16,153,1,0,1006.993,517.686,1001,512,14,15,137,1.0,65.146,142.0,69.075,5.386,0.443,3.852,0.078,156
7,0.2333,17,89,1,1,956.08,521.901,949,513,17,21,213,1.0,85.362,179.0,665.962,176.725,7.483,37.876,0.2654,89
7,0.2333,19,65,1,0,861.533,535.233,857,532,10,7,60,1.0,54.733,124.0,357.721,26.169,5.339,24.629,0.0732,67
7,0.2333,26,51,1,1,839.75,602.0,839,601,2,3,4,0.2917,19.25,21.0,316.496,146.361,5.972,23.629,0.4624,53
