track_id,valid_flying_track,confirmed,active_at_end,lifetime_frames,first_frame,last_frame,frame_span,start_cx,start_cy,end_cx,end_cy,path_length_px,net_displacement_px,mean_speed_px_frame,max_step_speed_px_frame,directionality
1,0,1,0,153,0,156,156,943.496,317.624,951.325,318.607,28.982,7.891,0.186,2.386,0.2723
2,0,1,0,153,0,156,156,996.667,318.955,1002.078,321.186,26.616,5.853,0.171,1.583,0.2199
16,0,1,0,153,0,156,156,1006.946,517.518,1011.893,519.647,69.075,5.386,0.443,3.852,0.078
265,0,1,0,152,228,391,163,989.578,414.044,1117.4,353.4,1164.432,141.479,7.144,33.174,0.1215
36,0,1,0,142,11,156,145,672.176,453.229,670.85,456.65,43.478,3.669,0.3,5.017,0.0844
278,0,1,0,138,228,382,154,961.039,527.0,983.562,530.875,864.435,22.854,5.613,58.065,0.0264
348,0,1,0,118,301,428,127,755.957,455.464,669.176,546.376,891.006,125.682,7.016,86.682,0.1411
65,0,1,0,100,38,147,109,784.571,443.143,808.667,442.667,273.234,24.1,2.507,56.379,0.0882
52,0,1,0,99,24,128,104,42.338,624.423,46.783,624.783,197.769,4.459,1.902,45.218,0.0225
366,0,1,0,82,333,416,83,578.436,611.117,566.727,587.455,513.266,26.401,6.184,68.492,0.0514
373,0,1,0,78,353,436,83,709.333,462.333,660.267,481.933,906.388,52.837,10.92,71.398,0.0583
426,0,1,1,78,415,494,79,1001.85,526.2,1017.116,530.558,37.259,15.876,0.472,4.164,0.4261
355,0,1,0,66,317,385,68,974.128,548.128,1011.298,545.766,454.917,37.245,6.69,48.365,0.0819
19,0,1,0,65,0,67,67,832.244,547.856,819.5,525.0,357.721,26.169,5.339,24.629,0.0732
392,0,1,0,58,379,436,57,536.042,606.833,535.5,605.0,12.557,1.912,0.22,1.592,0.1522
314,0,1,0,55,240,300,60,964.84,529.64,949.357,527.286,46.573,15.661,0.776,12.56,0.3363
378,0,1,0,52,356,407,51,660.5,487.0,663.0,463.5,249.884,23.633,4.9,27.311,0.0946
46,0,1,0,51,19,75,56,25.369,624.611,25.5,624.0,46.494,0.625,0.83,11.131,0.0134
75,0,1,0,50,50,103,53,1097.653,463.855,1114.109,465.073,628.675,16.501,11.862,43.771,0.0262
9,0,1,0,49,0,49,49,803.0,441.143,796.389,443.5,40.867,7.019,0.834,8.494,0.1717
128,0,1,0,40,109,156,47,785.5,443.0,815.0,440.5,218.803,29.606,4.655,22.638,0.1353
448,0,1,1,39,454,494,40,1139.0,520.5,1143.465,525.597,21.457,6.776,0.536,4.429,0.3158
86,0,1,0,35,68,103,35,185.5,622.0,190.5,622.0,8.0,5.0,0.229,3.25,0.625
131,0,1,0,35,114,148,34,3.154,625.462,0.5,625.0,2.694,2.694,0.079,2.694,1.0
88,0,1,0,34,70,103,33,162.319,622.277,168.21,622.048,7.547,5.895,0.229,6.294,0.7811
360,0,1,0,32,327,366,39,775.62,497.28,769.617,492.064,182.591,7.953,4.682,58.422,0.0436
89,0,1,0,30,71,100,29,145.5,622.0,145.5,622.0,0.0,0.0,0.0,0.0,0.0
30,0,1,0,29,1,32,31,814.0,436.0,806.5,437.5,63.499,7.649,2.048,24.083,0.1205
97,0,1,0,24,77,100,23,353.0,617.0,353.0,617.0,0.0,0.0,0.0,0.0,0.0
98,0,1,0,24,77,100,23,357.5,617.0,357.5,617.0,0.0,0.0,0.0,0.0,0.0
135,0,1,0,24,119,142,23,934.5,320.0,935.0,320.5,2.049,0.707,0.089,0.707,0.3451
32,0,1,0,22,1,23,22,693.0,451.4,692.333,452.667,11.479,1.431,0.522,5.675,0.1247
288,0,1,0,22,228,255,27,537.372,604.754,535.5,608.5,13.495,4.188,0.5,2.683,0.3103
143,0,1,0,21,127,148,21,53.8,624.6,53.766,624.681,14.98,0.088,0.713,7.158,0.0059
285,0,1,0,21,228,254,26,596.881,573.881,594.0,575.5,9.577,3.305,0.368,2.83,0.3451
286,0,1,0,21,228,254,26,575.794,581.869,575.167,582.333,6.835,0.781,0.263,1.316,0.1142
35,0,1,0,20,11,30,19,719.032,447.688,721.167,448.333,11.104,2.23,0.584,3.284,0.2008
